trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.9, 'e': 0.7557837414557255}",20,0,-78.9596683609355,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
140,False,"{'a': 0.9, 'e': 0.754273684533089}",25,0,-118.6583800241163,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
141,False,"{'a': 0.9, 'e': 0.7527666447061963}",25,0,-18.01326614389051,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.9, 'e': 0.751262615946886}",20,8,-18.51917160810171,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.7497615922390413}",20,0,-57.599787265181035,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.9, 'e': 0.7482635675785653}",25,4,-49.2435094326974,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.7467685359733571}",20,0,-136.6335416014672,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
146,False,"{'a': 0.9, 'e': 0.7452764914432887}",20,0,-79.25130121275254,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.9, 'e': 0.7437874280201796}",25,12,-65.74246554596061,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
148,False,"{'a': 0.9, 'e': 0.7423013397477743}",25,0,-79.45773891410867,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
149,False,"{'a': 0.9, 'e': 0.7408182206817179}",20,0,-108.05611789521063,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
150,False,"{'a': 0.9, 'e': 0.7393380648895319}",20,0,-39.88789543066916,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.9, 'e': 0.7378608664505911}",35,0,-110.0904394035702,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
152,False,"{'a': 0.9, 'e': 0.7363866194561001}",20,0,-53.35030727208967,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
153,False,"{'a': 0.9, 'e': 0.7349153180090687}",20,0,-106.18023009239978,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
154,False,"{'a': 0.9, 'e': 0.7334469562242892}",25,0,-71.89976952476042,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
155,False,"{'a': 0.9, 'e': 0.7319815282283126}",25,4,-108.43001368969807,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1
156,False,"{'a': 0.9, 'e': 0.7305190281594249}",25,0,-138.64633486984275,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
157,False,"{'a': 0.9, 'e': 0.7290594501676237}",25,0,-112.98662673962303,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
158,False,"{'a': 0.9, 'e': 0.7276027884145955}",20,0,-101.22725537474246,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
159,False,"{'a': 0.9, 'e': 0.7261490370736909}",25,0,-174.77121311957706,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",1
160,False,"{'a': 0.9, 'e': 0.7246981903299029}",20,0,-56.27414384309057,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.7232502423798424}",30,0,-72.41101069273023,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
162,False,"{'a': 0.9, 'e': 0.7218051874317158}",20,0,-5.746482006069838,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
163,False,"{'a': 0.9, 'e': 0.7203630197053014}",25,12,-21.0282260548861,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.7189237334319262}",25,0,-75.2870077134358,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.9, 'e': 0.7174873228544433}",30,0,-231.0731170117304,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
166,False,"{'a': 0.9, 'e': 0.7160537822272085}",25,0,-151.90485561955907,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
167,False,"{'a': 0.9, 'e': 0.7146231058160573}",20,0,-39.693036448466245,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.9, 'e': 0.7131952878982822}",20,0,-35.06185162914353,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
169,False,"{'a': 0.9, 'e': 0.7117703227626097}",20,0,-111.7055958355914,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
170,False,"{'a': 0.9, 'e': 0.7103482047091773}",30,7,-112.89551874840754,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 2}",1
171,False,"{'a': 0.9, 'e': 0.7089289280495107}",25,0,-71.91047319018206,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
